Match #,Date,Player 1,Points Won,Player 2,Points Won,Rounds,Winner,P1 ID,P1 KScore,P1 Old,P1 Change,P1 New,P2 ID,P2 KScore,P2 Old,P2 Change,P2 New
12,3/31/2012,Ab Leitch 1061,6,Joe Arnup 1065,2,4.00,P1,1061,40,1495.01,10.78,1505.79,1065,40,1508.52,-10.78,1497.74
13,3/31/2012,Ab Leitch 1061,1,Eric Miltenburg 1062,7,4.00,P2,1061,40,1505.79,-16.01,1489.78,1062,40,1488.15,16.01,1504.16
14,3/31/2012,Ab Leitch 1061,4,Jason Beierling 1063,4,4.00,TIE,1061,40,1489.78,1.13,1490.91,1063,40,1509.49,-1.13,1508.36
15,3/31/2012,Ab Leitch 1061,1,Ray Beierling 1064,7,4.00,P2,1061,40,1490.91,-14.57,1476.34,1064,40,1498.44,14.57,1513.01
16,3/31/2012,Ab Leitch 1061,4,Kent Robinson 1066,4,4.00,TIE,1061,40,1476.34,1.25,1477.59,1066,40,1498.04,-1.25,1496.79
17,3/31/2012,Eric Miltenburg 1062,6,Jason Beierling 1063,2,4.00,P1,1062,40,1504.16,10.24,1514.40,1063,40,1508.36,-10.24,1498.12
18,3/31/2012,Eric Miltenburg 1062,3,Ray Beierling 1064,5,4.00,P2,1062,40,1514.40,-5.08,1509.32,1064,40,1513.01,5.08,1518.09
19,3/31/2012,Eric Miltenburg 1062,8,Kent Robinson 1066,0,4.00,P1,1062,40,1509.32,19.28,1528.60,1066,40,1496.79,-19.28,1477.51
20,3/31/2012,Eric Miltenburg 1062,4,Jon Conrad 1069,4,4.00,TIE,1062,40,1528.60,-0.87,1527.73,1069,40,1513.40,0.87,1514.27
21,3/31/2012,Eric Miltenburg 1062,2,Joe Arnup 1065,6,4.00,P2,1062,40,1527.73,-11.72,1516.01,1065,40,1497.74,11.72,1509.46
22,3/31/2012,Jason Beierling 1063,5,Ray Beierling 1064,3,4.00,P1,1063,40,1498.12,6.15,1504.27,1064,40,1518.09,-6.15,1511.94
23,3/31/2012,Jason Beierling 1063,4,Kent Robinson 1066,4,4.00,TIE,1063,40,1504.27,-1.54,1502.73,1066,40,1477.51,1.54,1479.05
24,3/31/2012,Jason Beierling 1063,4,Jon Conrad 1069,4,4.00,TIE,1063,40,1502.73,0.66,1503.39,1069,40,1514.27,-0.66,1513.61
25,3/31/2012,Jason Beierling 1063,6,Joe Arnup 1065,2,4.00,P1,1063,40,1503.39,10.35,1513.74,1065,40,1509.46,-10.35,1499.11
26,3/31/2012,Ray Beierling 1064,8,Joe Arnup 1065,0,4.00,P1,1064,40,1511.94,19.26,1531.20,1065,40,1499.11,-19.26,1479.85
27,3/31/2012,Ray Beierling 1064,4,Kent Robinson 1066,4,4.00,TIE,1064,40,1531.20,-2.98,1528.22,1066,40,1479.05,2.98,1482.03
28,3/31/2012,Ray Beierling 1064,3,Jon Conrad 1069,5,4.00,P2,1064,40,1528.22,-5.84,1522.38,1069,40,1513.61,5.84,1519.45
29,3/31/2012,Joe Arnup 1065,6,Kent Robinson 1066,2,4.00,P1,1065,40,1479.85,10.13,1489.98,1066,40,1482.03,-10.13,1471.90
30,3/31/2012,Joe Arnup 1065,2,Jon Conrad 1069,6,4.00,P2,1065,40,1489.98,-8.31,1481.67,1069,40,1519.45,8.31,1527.76
31,3/31/2012,Kent Robinson 1066,4,Jon Conrad 1069,4,4.00,TIE,1066,40,1471.90,3.19,1475.09,1069,40,1527.76,-3.19,1524.57
32,5/10/2012,Nathan Walsh 1060,2,Jason Carter 1070,6,4.00,P2,1060,40,1479.61,-8.83,1470.78,1070,40,1500.00,8.83,1508.83
33,5/10/2012,Nathan Walsh 1060,2,Brian Cook 1068,6,4.00,P2,1060,40,1470.78,-7.79,1462.99,1068,40,1509.34,7.79,1517.13
